neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Vadhana,13.74618,100.55168,9600,28,1,2017-06-19,365,0
Sathon,13.7133,100.51337,1100,1,146,2020-03-02,167,0
Suanluang,13.72383,100.61609,1306,28,2,2015-01-15,347,0
Phaya Thai,13.78064,100.54393,1385,3,7,2017-07-26,348,0
Suanluang,13.7234,100.61828,1212,10,10,2017-08-10,365,0
Khlong Toei,13.72062,100.58019,1732,2,0,,347,0
Bang Kho laen,13.7016,100.50262,4800,2,18,2016-12-24,357,0
Suanluang,13.72158,100.61654,999,10,11,2022-10-31,358,2
Vadhana,13.73668,100.56693,4156,28,4,2015-08-11,271,0
Bang Kapi,13.75878,100.64988,519,4,1,2016-11-09,181,0
Khlong Toei,13.73684,100.55488,1500,7,0,,365,0
Bang Rak,13.72543,100.53838,5195,3,95,2022-12-13,236,14
Bang Na,13.67826,100.60592,1750,28,0,,365,0
Din Daeng,13.78499,100.56958,2000,2,26,2022-12-11,336,2
Huai Khwang,13.74538,100.59943,888,7,53,2022-12-06,127,7
Bang Sue,13.83148,100.52151,1000,3,7,2017-05-12,146,0
Bang Sue,13.83148,100.52307,1200,3,21,2022-12-22,124,1
Bang Rak,13.72425,100.53087,2147,5,101,2022-12-14,221,10
Khlong Toei,13.70486,100.60152,850,21,33,2022-10-23,294,1
Din Daeng,13.77126,100.57088,1200,2,0,,365,0
Sathon,13.71628,100.51238,950,1,109,2022-11-21,358,5
Sathon,13.71972,100.54924,1693,30,25,2022-12-03,176,4
Khlong Toei,13.72393,100.57647,3300,5,26,2022-12-18,13,9
Suanluang,13.73789,100.64271,850,1,8,2022-06-30,365,1
Suanluang,13.73613,100.64319,1050,1,0,,365,0
Bueng Kum,13.78327,100.67124,700,1,3,2019-09-19,365,0
Bang Phlat,13.80698,100.5121,1050,1,0,,365,0
Bang Phlat,13.80657,100.51192,1050,1,0,,365,0
Bang Phlat,13.80685,100.5125,1050,1,0,,365,0
Sathon,13.71663,100.52864,868,4,97,2022-09-09,330,11
Wang Thong Lang,13.77933,100.61957,4873,1,0,,365,0
Bang Rak,13.7318,100.52351,980,1,0,,365,0
Chatu Chak,13.82824,100.56594,1054,28,20,2020-01-07,180,0
Huai Khwang,13.74742,100.56678,1020,29,12,2022-08-31,318,3
Suanluang,13.72347,100.61812,1004,10,6,2017-07-25,365,0
Nong Chok,13.77672,100.83851,8658,1,1,2015-09-03,365,0
Khlong San,13.72174,100.50769,1635,3,88,2022-11-22,56,8
Nong Chok,13.77624,100.83931,3463,2,1,2016-03-10,363,0
Khlong San,13.72135,100.508,7929,2,256,2022-12-15,267,43
Sathon,13.72065,100.54713,850,1,278,2022-12-12,293,10
Bang Sue,13.83235,100.5228,1500,3,37,2019-12-18,107,0
Yan na wa,13.67907,100.52887,935,28,26,2019-05-18,331,0
Din Daeng,13.78588,100.56957,1504,2,167,2022-12-04,360,5
Khlong San,13.72162,100.5075,2251,7,91,2022-11-20,314,2
Bang Sue,13.82955,100.52119,1000,3,0,,146,0
Bang Rak,13.72479,100.53039,728,21,11,2022-11-20,316,4
Ratchathewi,13.74978,100.53301,1009,3,113,2022-12-21,57,3
Bang Na,13.65979,100.60643,700,1,4,2016-09-06,365,0
Sathon,13.72074,100.54712,800,1,192,2020-02-28,346,0
Sathon,13.72062,100.54707,609,1,156,2022-11-20,312,7
Parthum Wan,13.74381,100.54792,2250,7,92,2022-12-15,70,8
Suanluang,13.73693,100.61644,1004,2,0,,365,0
Bang Na,13.65441,100.64548,797,1,0,,362,0
Chatu Chak,13.79616,100.56478,1636,2,0,,179,0
Huai Khwang,13.79216,100.57502,540,28,25,2022-12-02,10,3
Phra Khanong,13.69784,100.60635,999,5,103,2022-12-11,336,13
Ratchathewi,13.75409,100.53552,3587,7,0,,270,0
Khlong Toei,13.73606,100.55934,1845,3,129,2021-06-29,336,0
Vadhana,13.73958,100.5865,4720,2,252,2020-02-23,347,0
Vadhana,13.73862,100.585,1049,3,1,2014-01-01,365,0
Vadhana,13.7214,100.58484,1758,1,0,,365,0
Saphan Sung,13.76276,100.69127,1000,1,0,,365,0
Suanluang,13.73786,100.64065,1351,30,11,2017-12-30,89,0
Khlong Toei,13.72468,100.56838,3000,1,0,,365,0
Bang Rak,13.72004,100.5186,5500,2,25,2022-12-01,338,7
Bang Rak,13.7319,100.52255,1800,30,6,2018-07-16,320,0
Bang Rak,13.732,100.52294,2100,30,3,2022-02-07,357,1
Bang Rak,13.7332,100.52094,3900,30,1,2022-08-27,330,1
Bang Kho laen,13.69945,100.52725,950,2,7,2022-12-23,86,1
Min Buri,13.78318,100.74785,1620,30,0,,365,0
Min Buri,13.78115,100.7482,1620,1,0,,365,0
Phra Khanong,13.68469,100.60719,1290,30,2,2013-04-17,87,0
Phaya Thai,13.78519,100.5496,2000,1,8,2022-12-03,360,1
Suanluang,13.72219,100.6145,1004,10,2,2016-11-13,365,0
Suanluang,13.71916,100.63024,1004,10,9,2017-03-30,365,0
Bang Kapi,13.7703,100.63148,1905,1,0,,365,0
Yan na wa,13.71165,100.54957,1500,60,1,2017-07-21,363,0
Huai Khwang,13.77302,100.57755,1212,1,0,,365,0
Sathon,13.72062,100.54707,600,1,146,2022-11-19,358,3
Bang Rak,13.73155,100.52129,3700,30,6,2019-06-30,330,0
Bang Rak,13.7334,100.52328,900,30,4,2016-04-30,301,0
Bang Rak,13.73391,100.52297,1500,30,6,2022-04-22,302,1
Bang Rak,13.73205,100.5234,1500,30,4,2020-01-21,321,0
Phaya Thai,13.78756,100.55304,3000,1,0,,365,0
Huai Khwang,13.79654,100.57543,2500,2,0,,359,0
Phra Khanong,13.70488,100.60475,900,7,10,2019-01-24,271,0
Khlong Toei,13.72635,100.57211,2123,3,210,2022-12-14,294,18
Vadhana,13.70714,100.60281,2236,1,0,,365,0
Phra Khanong,13.69011,100.60844,2275,7,12,2016-12-10,98,0
Sathon,13.72065,100.54713,736,1,120,2022-12-06,321,1
Bang Rak,13.73386,100.52322,2100,30,0,,217,0
Bang Rak,13.73227,100.52112,2743,30,3,2018-02-18,341,0
Bang Rak,13.7319,100.52202,1900,30,10,2022-11-20,323,1
Suanluang,13.7141,100.64207,1004,3,0,,90,0
Khlong Toei,13.73833,100.55635,1347,2,40,2022-07-15,330,1
Chatu Chak,13.81674,100.56603,1200,30,0,,363,0
Din Daeng,13.78653,100.56912,2000,1,23,2018-02-22,90,0
Khlong Toei,13.73892,100.55673,1850,2,6,2020-01-05,330,0
Vadhana,13.70992,100.59918,712,2,1,2018-08-01,355,0
Chatu Chak,13.84279,100.56287,2236,2,215,2022-12-20,325,29
Vadhana,13.73767,100.58381,1712,2,41,2022-12-01,333,1
Bang Rak,13.73217,100.52297,2743,30,1,2014-03-24,341,0
Bang Rak,13.73352,100.52143,2686,30,2,2017-03-06,341,0
Bang Na,13.65487,100.64337,1732,15,1,2014-07-09,365,0
Din Daeng,13.7863,100.57026,943,1,5,2022-11-26,357,2
Bang Rak,13.73418,100.5226,1957,30,3,2022-06-07,341,1
Bang Sue,13.83165,100.52765,418,2,0,,365,0
Suanluang,13.72376,100.61804,1974,10,6,2019-02-04,365,0
Bang Rak,13.73232,100.52657,2701,1,239,2021-02-26,346,0
Bang Na,13.66352,100.64885,950,3,23,2022-12-14,260,4
Saphan Sung,13.73667,100.69141,10355,1,0,,365,0
Bang Na,13.66375,100.64965,950,30,41,2022-05-23,245,2
Vadhana,13.70811,100.60112,400,1,4,2018-09-07,365,0
Huai Khwang,13.75806,100.56938,4161,3,195,2022-12-22,145,4
Yan na wa,13.67892,100.5265,1800,3,0,,90,0
Parthum Wan,13.73982,100.5406,1004,23,2,2018-05-14,76,0
Chatu Chak,13.80556,100.56883,590,6,24,2022-08-22,325,3
Bang Rak,13.73167,100.52116,2650,30,4,2014-04-07,341,0
Bang Rak,13.7344,100.52201,1900,30,18,2022-08-03,337,3
Sathon,13.72052,100.54682,1400,1,300,2022-10-24,327,4
Vadhana,13.73616,100.57224,9999,2,46,2019-02-26,356,0
Phra Khanong,13.70309,100.60269,1500,3,21,2022-09-15,207,5
Pra Wet,13.72352,100.6536,10000,1,0,,365,0
Bang Rak,13.73337,100.52274,1500,30,10,2022-06-18,189,1
