neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Ratchathewi,13.74902,100.55581,3994,3,53,2022-12-06,349,24
Khlong Toei,13.73331,100.56155,900,6,3,2022-06-01,361,1
Vadhana,13.73849,100.56077,3500,1,0,,363,0
Parthum Wan,13.74795,100.52715,1886,30,5,2022-09-25,212,2
Vadhana,13.72816,100.58927,3200,4,30,2022-12-12,153,12
Khlong San,13.72301,100.50936,8048,2,64,2022-12-10,232,35
Phaya Thai,13.78915,100.55466,2500,3,0,,89,0
Khlong Toei,13.72645,100.56795,1385,9,17,2022-11-18,115,12
Khlong Toei,13.72441,100.56576,1761,1,15,2022-12-15,156,7
Bang Khen,13.85924,100.66056,550,3,0,,180,0
Phra Nakhon,13.757,100.50468,6600,1,0,,291,0
Phra Nakhon,13.757,100.50468,5400,1,0,,286,0
Phra Nakhon,13.757,100.50468,5400,1,0,,311,0
Phra Nakhon,13.757,100.50468,4800,1,0,,310,0
Khlong Toei,13.72599,100.56594,1746,1,21,2022-10-22,149,13
Phra Nakhon,13.757,100.50468,4000,1,0,,317,0
Phra Khanong,13.70319,100.59875,3000,2,0,,364,0
Vadhana,13.73153,100.57917,2500,7,0,,289,0
Vadhana,13.7451,100.55797,1665,2,40,2022-12-11,311,17
Dusit,13.79051,100.51916,3580,1,0,,365,0
Khlong Toei,13.7214,100.57758,2514,1,30,2022-12-02,354,8
Khlong Toei,13.7254,100.56872,2894,1,25,2022-12-26,152,12
Huai Khwang,13.77852,100.57504,1300,14,8,2022-07-24,307,2
Khlong Toei,13.72476,100.56673,2078,30,0,,365,0
Khlong Toei,13.73787,100.55206,3621,1,0,,57,0
Khlong Toei,13.7259,100.57566,1550,1,39,2022-12-27,51,17
Khlong Toei,13.72765,100.57155,1350,2,48,2022-11-30,323,30
Bang Phlat,13.80091,100.50838,1500,21,4,2022-12-10,138,1
Sai Mai,13.90045,100.64567,3386,1,0,,365,0
Khlong Toei,13.72147,100.5772,2980,1,33,2022-12-14,324,9
Phra Nakhon,13.74888,100.49884,2000,1,1,2020-02-05,365,0
Phra Nakhon,13.75526,100.5009,3570,1,0,,365,0
Chatu Chak,13.79989,100.55484,3836,2,23,2022-10-31,53,2
Khlong Toei,13.73202,100.56406,649,7,8,2022-12-03,328,3
Saphan Sung,13.73853,100.66335,3500,1,1,2019-08-04,365,0
Parthum Wan,13.73922,100.5394,1600,14,36,2022-12-05,204,6
Sathon,13.71668,100.52958,1100,10,31,2022-11-28,26,5
Lak Si,13.87591,100.55079,795,1,4,2022-12-02,302,2
Rat Burana,13.68322,100.50376,3000,1,0,,120,0
Chatu Chak,13.84116,100.54747,700,28,26,2022-12-06,358,8
Bang Khae,13.70919,100.38342,855,1,0,,364,0
Phra Nakhon,13.74949,100.49862,561,1,34,2022-10-27,362,21
Phra Nakhon,13.7495,100.49901,561,1,8,2022-11-24,356,3
Khlong Toei,13.70573,100.59963,743,2,22,2022-11-10,103,14
Phra Nakhon,13.74749,100.49848,530,1,120,2022-12-09,364,45
Phra Nakhon,13.7475,100.49874,1600,1,3,2022-11-08,358,2
Phra Nakhon,13.74762,100.49819,3200,1,0,,361,0
Phra Nakhon,13.74977,100.49869,1349,1,15,2022-09-06,321,7
Bang Na,13.66341,100.62421,850,1,0,,175,0
Ratchathewi,13.75147,100.5572,2266,25,31,2022-11-30,330,3
Bang Kapi,13.748527,100.606293,793,14,11,2022-12-06,318,8
Bang Kho laen,13.70206,100.49937,1189,2,3,2022-12-09,58,3
Huai Khwang,13.76583,100.58688,350,1,0,,365,0
Huai Khwang,13.7658,100.58702,350,1,0,,364,0
Huai Khwang,13.76694,100.5848,350,1,0,,365,0
Phra Khanong,13.69925,100.63304,3400,1,0,,360,0
Samphanthawong,13.73443,100.51199,2407,1,2,2021-01-25,60,0
Khlong Toei,13.736,100.55671,1912,2,98,2022-12-26,192,44
Lat Krabang,13.71943,100.75399,633,1,74,2022-12-25,338,32
Bang Na,13.65606,100.61066,800,3,0,,365,0
Sathon,13.71855,100.54742,2650,1,2,2020-01-20,302,0
Samphanthawong,13.7343,100.51186,2758,1,0,,63,0
Huai Khwang,13.76766,100.58541,350,1,0,,365,0
Huai Khwang,13.76694,100.585,350,1,0,,365,0
Huai Khwang,13.76751,100.58558,350,1,0,,365,0
Vadhana,13.72262,100.58537,3500,1,56,2022-11-02,166,12
Khlong Toei,13.7277,100.57064,1180,1,0,,365,0
Bang Na,13.65934,100.60578,1100,1,22,2022-09-02,349,8
Khlong Toei,13.72783,100.57128,560,1,0,,365,0
Phra Khanong,13.69818,100.60857,685,5,21,2022-11-30,283,7
Khlong Toei,13.72755,100.57084,410,1,3,2022-04-08,365,1
Ratchathewi,13.74954,100.55656,1643,28,25,2020-03-04,55,0
Chatu Chak,13.83188,100.58493,3377,1,0,,365,0
Vadhana,13.72262,100.58537,4674,3,69,2022-12-07,123,20
Khlong Toei,13.7209,100.56213,4700,2,14,2022-11-30,326,6
Vadhana,13.72439,100.58015,4825,3,70,2022-12-09,160,20
Khan Na Yao,13.79352,100.68452,1400,2,0,,365,0
Khlong Toei,13.72537,100.56716,3999,1,0,,364,0
Vadhana,13.72439,100.58015,1500,3,49,2022-08-02,59,6
Ratchathewi,13.75115,100.55573,2527,3,56,2022-12-16,358,20
Ratchathewi,13.75071,100.55633,1466,3,80,2022-12-17,341,34
Khlong Toei,13.73754,100.55321,1212,3,2,2022-12-12,157,2
Chatu Chak,13.81317,100.57762,650,30,36,2020-03-15,216,0
Sathon,13.71017,100.52107,2000,2,43,2022-11-12,324,16
Lak Si,13.89089,100.5651,464,4,7,2022-10-04,136,2
Don Mueang,13.91535,100.5887,3300,1,0,,365,0
Khlong Toei,13.70519,100.5931,1020,2,2,2020-02-28,145,0
Khlong Toei,13.70363,100.59161,1121,5,1,2020-02-10,156,0
Phaya Thai,13.78359,100.5474,1529,1,35,2022-12-05,332,13
Din Daeng,13.7646484375,100.56599426269533,8957,1,8,2022-12-26,220,8
Bang Rak,13.7269,100.52764,3462,5,11,2022-12-12,130,3
Phra Nakhon,13.75479,100.50519,1999,1,3,2022-07-30,365,1
Khlong Toei,13.71689,100.57727,2605,5,15,2022-11-21,82,6
Sathon,13.71485,100.51107,930,1,10,2022-11-12,87,1
Huai Khwang,13.76747,100.58555,350,1,0,,365,0
Huai Khwang,13.76776,100.58647,350,1,0,,365,0
Pra Wet,13.7293,100.70067,700,10,0,,53,0
Huai Khwang,13.76541,100.58613,350,1,0,,365,0
Bang Phlat,13.79992,100.50629,1000,60,2,2022-08-03,364,2
Vadhana,13.74211,100.55768,1085,3,9,2022-12-15,303,4
Huai Khwang,13.76718,100.58658,350,1,0,,365,0
Huai Khwang,13.76726,100.58516,350,1,0,,365,0
Huai Khwang,13.76763,100.5865,350,1,0,,365,0
Din Daeng,13.75898,100.56059,1200,1,0,,181,0
Khlong Toei,13.70315,100.59332,971,28,2,2019-10-05,54,0
Phra Nakhon,13.74803,100.49797,2459,2,27,2022-11-08,204,12
Phra Khanong,13.68802,100.60743,3251,1,0,,365,0
Bang Kapi,13.74782,100.60623,600,28,4,2022-10-28,341,4
Khlong Toei,13.72553,100.56628,1746,1,35,2022-12-17,159,11
Khlong Toei,13.72998,100.56415,649,7,14,2022-12-26,356,5
Khlong Toei,13.72845,100.56006,9429,2,21,2022-12-15,74,7
Vadhana,13.74095,100.55578,4997,1,21,2022-12-06,316,3
Khlong Toei,13.72985,100.55976,10500,2,36,2022-12-08,108,6
Yan na wa,13.6765,100.54694,3687,1,0,,365,0
Yan na wa,13.67725,100.54527,3687,1,0,,365,0
Yan na wa,13.67674,100.54754,3687,1,0,,365,0
Phra Khanong,13.68451,100.60513,750,1,1,2022-06-21,175,1
Yan na wa,13.67769,100.54722,3687,1,0,,365,0
Sathon,13.72023,100.548203,1286,1,10,2022-10-31,364,4
Sathon,13.720214,100.548203,1286,1,38,2022-12-22,357,36
Yan na wa,13.6759,100.54687,3687,1,0,,365,0
Yan na wa,13.67604,100.54747,3687,1,0,,365,0
Khlong Toei,13.71257,100.57902,1083,1,1,2019-09-25,54,0
Yan na wa,13.67583,100.54736,3687,1,0,,365,0
Yan na wa,13.67753,100.54552,3687,1,0,,365,0
Ratchathewi,13.75116,100.55604,1466,3,28,2022-12-13,351,8
Pom Prap Sattru Phai,13.7445,100.5108,905,2,48,2022-12-28,138,40
Huai Khwang,13.77462,100.57749,3687,1,0,,365,0
Bang Rak,13.72801,100.52416,3500,1,0,,365,0
Parthum Wan,13.74038,100.5396,1600,28,29,2021-08-13,89,0
Ratchathewi,13.75323,100.54477,7374,1,0,,365,0
Phra Nakhon,13.7612,100.49699,432,1,0,,365,0
Khlong Toei,13.7113,100.59223,900,1,38,2020-03-09,321,0
Phra Khanong,13.70303,100.60798,1200,2,0,,177,0
Vadhana,13.7163,100.59327,1290,1,1,2022-09-20,365,1
Phaya Thai,13.78356,100.54422,8143,1,21,2022-12-18,326,5
Khlong Toei,13.70368,100.59321,1042,28,3,2021-11-22,54,0
Khlong Toei,13.70306,100.59304,1034,28,1,2019-12-04,54,0
Phaya Thai,13.78576,100.53725,1800,1,4,2019-10-26,365,0
Phaya Thai,13.77396,100.53224,678,1,21,2020-03-12,57,0
Phaya Thai,13.78553,100.53819,1000,1,1,2019-09-08,365,0
Bang Rak,13.72551,100.5235,1099,1,0,,364,0
Khlong Toei,13.71553,100.58753,800,1,0,,180,0
Khlong Toei,13.70332,100.59314,1034,28,4,2020-01-19,54,0
Bueng Kum,13.82362,100.63065,350,25,3,2022-09-26,36,1
Khlong Toei,13.71102,100.5786,1083,1,0,,54,0
Suanluang,13.74523,100.63401,800,1,0,,364,0
Vadhana,13.74634,100.55367,943,4,35,2022-12-02,288,11
Khlong Sam Wa,13.85202,100.72675,3400,1,0,,365,0
Khlong Toei,13.73678,100.55711,1671,1,99,2022-12-12,90,49
Bang Rak,13.72672,100.52159,1350,1,0,,364,0
Bang Rak,13.72459,100.52345,1500,1,0,,365,0
Khlong Toei,13.72272,100.56953,1250,1,0,,179,0
Phaya Thai,13.77397,100.53416,678,1,39,2020-03-13,58,0
Phaya Thai,13.77568,100.53354,678,1,56,2020-03-12,57,0
Bang Sue,13.82309,100.53632,800,30,30,2022-09-01,145,7
Bang Phlat,13.8013,100.50659,1280,60,0,,365,0
Khlong Toei,13.73698,100.55754,2386,1,78,2022-12-13,33,31
Bueng Kum,13.77268,100.65663,1080,3,0,,365,0
Khlong Toei,13.71123,100.57937,995,3,3,2022-09-20,354,2
Ratchathewi,13.74949,100.55647,4193,2,60,2022-12-08,337,24
Saphan Sung,13.74298,100.70356,3400,1,0,,365,0
Sai Mai,13.91973,100.6678,3390,1,0,,365,0
Pra Wet,13.69453,100.64612,1200,3,3,2020-02-06,365,0
Khlong Toei,13.71357,100.58797,2100,1,0,,180,0
Ratchathewi,13.75112,100.55572,2527,3,13,2022-08-28,361,6
Bang Rak,13.72693,100.52287,1099,1,4,2020-03-13,365,0
Khlong Toei,13.72721,100.57161,1490,1,19,2022-12-28,351,8
Suanluang,13.73554,100.65065,929,1,9,2022-12-27,270,7
Pra Wet,13.69629,100.64506,1200,3,0,,365,0
Pra Wet,13.69681,100.64497,1200,3,4,2019-11-22,365,0
Thung khru,13.6013,100.50634,3400,1,0,,365,0
Khlong Toei,13.72879,100.56195,8643,2,19,2022-12-21,73,12
Khlong Toei,13.72722,100.56013,10143,2,28,2022-12-10,44,7
Bang Rak,13.72704,100.53585,1790,1,0,,181,0
Bang Phlat,13.79942,100.50818,480,60,0,,295,0
Phra Khanong,13.68622,100.60236,750,1,2,2020-01-16,84,0
Ratchathewi,13.74912,100.55503,1466,3,21,2022-10-26,361,3
Bang Sue,13.79844,100.53729,7374,1,0,,365,0
Khlong Toei,13.72016,100.58346,1385,30,1,2019-09-05,53,0
Khlong Toei,13.70667,100.59925,1034,4,38,2022-12-20,107,22
Ratchathewi,13.74909,100.5556,1466,3,67,2022-12-09,353,15
Ratchathewi,13.751,100.55592,2527,3,12,2022-09-30,363,3
Bang Rak,13.72986,100.52421,1700,20,0,,180,0
Huai Khwang,13.75935,100.5669,972,1,0,,90,0
Ratchathewi,13.75099,100.55605,4980,7,31,2022-04-11,365,1
Nong Khaem,13.7062,100.3439,2321,1,0,,365,0
Ratchathewi,13.74919,100.55422,2527,3,15,2022-11-18,361,9
Ratchathewi,13.74904,100.55463,1466,3,36,2022-11-23,361,10
Vadhana,13.74115,100.59032,800,30,7,2022-11-01,283,4
Khlong Toei,13.70476,100.5912,1034,28,1,2019-11-15,54,0
Sathon,13.71971,100.53381,6371,1,0,,351,0
Bang Rak,13.72429,100.5196,1850,2,71,2022-12-26,59,46
Vadhana,13.73743,100.56116,2580,30,1,2020-01-09,365,0
Khlong Toei,13.71774,100.5756,1900,2,0,,179,0
Yan na wa,13.67866,100.54629,7374,1,0,,365,0
Khlong Toei,13.70505,100.59982,1457,1,0,,52,0
Don Mueang,13.8923,100.58401,1500,1,0,,363,0
Bang Rak,13.72745,100.53564,1690,1,0,,91,0
Bang Rak,13.72708,100.53565,2290,1,0,,91,0
Ratchathewi,13.75089,100.55638,1466,3,77,2022-12-24,350,15
Khlong Toei,13.736,100.55708,5143,1,64,2022-12-24,356,40
Sathon,13.71652,100.53204,1312,1,0,,365,0
Chatu Chak,13.80545,100.5549,1200,30,20,2020-03-09,90,0
Ratchathewi,13.75117,100.55465,2200,30,37,2021-12-20,154,0
Vadhana,13.74561,100.55627,2870,1,18,2022-12-09,349,6
Ratchathewi,13.75328,100.5409,650,1,1,2022-05-31,89,1
Ratchathewi,13.75333,100.53921,1200,1,0,,89,0
Pom Prap Sattru Phai,13.74681,100.50732,1860,1,0,,85,0
Huai Khwang,13.74533,100.58211,2200,1,7,2022-12-20,353,5
Khlong Toei,13.7132,100.59415,10000,3,0,,178,0
Ratchathewi,13.75179,100.53632,1350,2,1,2019-11-03,348,0
Khlong Toei,13.71638,100.57712,2605,5,13,2022-07-17,357,4
Huai Khwang,13.77667,100.57642,2500,1,0,,365,0
Sai Mai,13.9195,100.68548,350,1,0,,88,0
Vadhana,13.73102,100.5799,2200,1,1,2019-12-10,271,0
Yan na wa,13.69696,100.53186,990,1,14,2022-11-25,359,10
Vadhana,13.7452,100.55779,2474,1,10,2020-02-19,348,0
Vadhana,13.74287,100.55704,1553,30,12,2022-12-13,50,10
Chatu Chak,13.81677,100.57922,1200,2,0,,364,0
Khlong Toei,13.70534,100.59651,857,4,27,2022-12-11,105,13
Chatu Chak,13.80259,100.57526,2450,1,0,,365,0
Ratchathewi,13.74913,100.5563,1466,3,50,2022-11-11,358,1
Dusit,13.78732,100.53094,1500,1,1,2019-12-29,172,0
Ratchathewi,13.74931,100.55629,2527,3,34,2022-11-07,363,19
Bang Kho laen,13.69586,100.49507,3390,1,0,,365,0
Bangkok Noi,13.76639,100.48544,1800,1,0,,365,0
Khlong Toei,13.72911,100.56015,9357,2,20,2022-12-19,62,8
Ratchathewi,13.74925,100.55409,1800,3,0,,362,0
Bang Na,13.66062,100.60801,1586,1,60,2022-12-19,148,20
Ratchathewi,13.75507,100.56167,871,1,81,2022-12-10,333,32
Don Mueang,13.92191,100.59867,1090,1,5,2020-02-07,365,0
Huai Khwang,13.78335,100.57703,2449,1,45,2022-12-23,130,22
Bang Na,13.66069,100.59882,970,30,2,2022-12-18,152,2
Vadhana,13.74241,100.5643,357,14,7,2022-11-09,54,6
Bang Na,13.65889,100.61241,800,1,0,,330,0
Suanluang,13.74407,100.64276,1650,2,1,2019-11-10,365,0
Khlong Toei,13.71286,100.5927,720,1,92,2020-12-20,321,0
Khlong Toei,13.7116,100.59231,720,1,27,2020-08-20,321,0
Khlong Toei,13.71403,100.58505,1300,1,0,,180,0
Bang Na,13.68278,100.616,700,15,0,,358,0
Parthum Wan,13.73831,100.51779,4269,1,130,2022-12-24,120,43
Ratchathewi,13.75519,100.56121,796,1,76,2022-12-14,285,43
Din Daeng,13.75711,100.56266,839,1,57,2022-12-09,342,11
Huai Khwang,13.75914,100.56838,2413,1,17,2022-01-31,350,3
Vadhana,13.72082,100.58914,3390,1,0,,365,0
Sathon,13.71342,100.51943,2199,3,20,2022-12-07,320,6
Khlong Toei,13.72654,100.56693,1522,2,46,2022-12-25,141,22
Huai Khwang,13.75385,100.56708,990,3,8,2022-12-17,179,4
Din Daeng,13.75558,100.56319,670,1,52,2022-11-26,300,20
Sathon,13.7123,100.51983,1500,5,8,2022-12-17,210,4
Lak Si,13.86047,100.56926,550,1,0,,365,0
Khlong Sam Wa,13.87035,100.71342,12000,1,0,,84,0
Phra Khanong,13.70248,100.6029,346,1,2,2022-06-19,364,1
Bueng Kum,13.81046,100.65612,600,1,0,,365,0
Ratchathewi,13.74895,100.55639,2632,12,29,2020-03-03,355,0
Phra Khanong,13.69902,100.60398,3000,3,1,2019-09-16,88,0
Bangkok Noi,13.76688,100.47271,1500,1,4,2022-10-24,363,2
Din Daeng,13.75637,100.56312,750,1,61,2022-11-14,305,23
Vadhana,13.7193,100.59911,2726,1,157,2022-12-22,230,49
Khlong Toei,13.7358,100.55694,2057,1,28,2022-12-20,361,4
Phaya Thai,13.77415,100.53208,678,1,31,2020-02-21,57,0
Sathon,13.720209,100.548195,1286,1,5,2020-02-02,364,0
Pra Wet,13.65687,100.69588,6500,1,0,,363,0
Bang Khen,13.89126,100.60762,555,2,17,2022-10-29,253,11
Khlong Toei,13.72322,100.56769,1329,3,31,2022-09-15,279,13
Vadhana,13.73011,100.58048,1890,3,17,2020-03-14,323,0
Bang Kapi,13.77102,100.63657,1500,7,3,2022-11-15,90,1
Suanluang,13.71548,100.63969,350,1,0,,179,0
Don Mueang,13.93348,100.60177,384,1,1,2019-11-11,185,0
Khlong Toei,13.70424,100.59581,1429,7,7,2022-09-09,113,1
Bang Na,13.67232,100.63782,3390,1,0,,365,0
Din Daeng,13.77445,100.57252,2386,2,36,2022-12-21,240,13
Bang Rak,13.73288,100.52627,350,1,1,2019-12-22,364,0
Vadhana,13.72096,100.60063,2657,1,22,2022-12-10,244,7
Parthum Wan,13.7438,100.54967,3786,1,26,2022-10-22,177,7
Khlong Toei,13.70343,100.5952,1500,7,11,2022-05-02,142,3
Khlong Toei,13.72602,100.5673,1935,2,33,2022-11-29,162,4
Khlong Toei,13.72434,100.5659,2072,2,39,2022-12-26,61,18
Khlong Toei,13.71321,100.59365,900,29,8,2022-10-25,305,7
Ratchathewi,13.7504,100.55422,2527,3,29,2022-12-18,332,22
Khlong Toei,13.72695,100.56686,1500,30,2,2019-10-24,88,0
Huai Khwang,13.77165,100.57894,1057,15,1,2019-09-16,363,0
Din Daeng,13.77323,100.57208,650,2,7,2022-12-09,351,3
Khlong Toei,13.73977,100.55154,2990,2,0,,358,0
Bangkok Noi,13.75369,100.48314,1490,1,1,2022-07-30,179,1
Khlong Toei,13.7265,100.56596,2663,1,24,2022-12-11,150,2
Khlong Toei,13.71476,100.56918,4586,1,8,2022-12-20,362,6
Ratchathewi,13.752,100.53656,350,1,0,,354,0
Phasi Charoen,13.71598,100.45811,2000,28,10,2020-03-08,180,0
Parthum Wan,13.74919,100.53625,2500,1,0,,180,0
Bangkok Yai,13.73752,100.48544,850,1,1,2022-06-14,88,1
Khlong Toei,13.71431,100.58948,1496,30,6,2022-06-12,55,2
Don Mueang,13.92615,100.58551,1500,1,0,,364,0
Vadhana,13.71752,100.5927,3600,1,0,,358,0
Khlong Toei,13.70475,100.59129,1042,28,1,2019-09-25,54,0
Ratchathewi,13.74908,100.55496,1466,3,42,2022-12-18,359,5
Ratchathewi,13.75037,100.55656,2527,3,59,2022-12-23,352,27
Bangkok Noi,13.77397,100.47191,1800,1,0,,364,0
Parthum Wan,13.743,100.54908,8643,1,9,2022-12-25,162,8
Parthum Wan,13.74422,100.51677,1385,1,0,,365,0
Vadhana,13.73676,100.56527,2000,28,4,2022-12-13,37,3
Bang Khen,13.8873,100.60084,799,1,0,,365,0
Phasi Charoen,13.72635,100.46514,304,2,16,2022-10-10,330,11
Bangkok Noi,13.75691,100.48095,5900,1,0,,365,0
Ratchathewi,13.74899,100.5556,2527,3,17,2022-12-25,353,9
Phasi Charoen,13.72499,100.45005,550,3,0,,365,0
Suanluang,13.72528,100.62178,755,15,0,,179,0
Yan na wa,13.67371,100.5438,3687,1,0,,365,0
Chatu Chak,13.82352,100.56221,1790,1,0,,365,0
Phra Nakhon,13.76276,100.49761,318,1,2,2021-07-10,365,0
Khlong Toei,13.73378,100.55695,900,30,3,2022-11-20,157,3
Phaya Thai,13.77537,100.53204,678,1,18,2020-03-11,57,0
Bang Khun thain,13.65817,100.4272,700,4,0,,269,0
Vadhana,13.71095,100.60234,850,7,20,2022-10-27,305,5
Khlong Toei,13.72541,100.56173,7186,2,29,2022-12-14,320,13
Ratchathewi,13.75206,100.53107,1457,1,3,2022-10-10,88,1
Bang Khae,13.69835,100.41554,400,1,0,,180,0
Samphanthawong,13.73882,100.50571,776,1,0,,179,0
Phaya Thai,13.79486,100.55428,3000,1,0,,180,0
Vadhana,13.71065,100.59827,650,1,0,,89,0
Bang Kapi,13.7464,100.60623,600,1,0,,88,0
Suanluang,13.7355,100.65065,734,1,12,2022-12-23,358,8
Huai Khwang,13.78817,100.5802,1500,3,0,,88,0
Chatu Chak,13.8403,100.57956,500,1,0,,365,0
Bang Rak,13.72564,100.52945,4000,1,19,2022-08-09,355,3
Chatu Chak,13.84364,100.57809,1000,1,0,,365,0
Din Daeng,13.79377,100.57008,389,1,0,,165,0
Huai Khwang,13.74977,100.59842,695,6,14,2022-12-03,312,7
Khlong Toei,13.70466,100.60101,1685,3,9,2022-11-03,53,7
Parthum Wan,13.73395,100.52977,641,5,0,,90,0
Phra Khanong,13.70421,100.60282,1685,5,4,2022-12-07,88,2
Bueng Kum,13.77572,100.66254,1500,2,2,2020-01-19,177,0
Huai Khwang,13.77156,100.5744,399,30,0,,350,0
Khlong Toei,13.72481,100.56534,1714,2,59,2022-12-12,72,27
Vadhana,13.73664,100.5849,1600,1,0,,179,0
Huai Khwang,13.793,100.57514,900,1,1,2020-03-23,235,0
Huai Khwang,13.75176,100.56512,1558,30,0,,76,0
Ratchathewi,13.75026,100.55433,1613,3,72,2022-12-20,360,23
Phra Nakhon,13.7652,100.49515,750,1,28,2022-11-20,86,11
Vadhana,13.73911,100.55988,3193,1,27,2022-12-14,104,4
Phra Khanong,13.69075,100.6037,1000,10,0,,180,0
Bangkok Noi,13.75424,100.48402,874,4,0,,89,0
Huai Khwang,13.77383,100.57832,713,6,0,,90,0
Khlong San,13.72439,100.50964,7000,1,0,,25,0
Phra Khanong,13.69185,100.59954,950,1,5,2022-09-17,140,3
Huai Khwang,13.79065,100.57504,1085,1,1,2019-12-13,90,0
Khlong Toei,13.72779,100.56232,2800,5,0,,180,0
Vadhana,13.74442,100.55729,873,4,0,,90,0
Huai Khwang,13.76968,100.57407,1300,1,48,2022-11-13,365,25
Huai Khwang,13.78969,100.57845,1500,2,50,2022-12-16,102,20
Huai Khwang,13.7688,100.57442,1300,1,44,2022-11-27,365,35
Ratchathewi,13.74887,100.55577,2527,3,33,2022-12-14,354,26
Nong Khaem,13.70288,100.36236,500,2,1,2019-11-03,180,0
Vadhana,13.7382,100.56464,6603,1,0,,358,0
Vadhana,13.7382,100.56464,4000,1,0,,363,0
Bang Khae,13.6941,100.42332,3687,1,0,,365,0
Bang Khae,13.69359,100.42347,3687,1,0,,365,0
Bang Khae,13.69507,100.4235,3687,1,0,,365,0
Bang Khae,13.69385,100.42297,3687,1,0,,365,0
Bang Khae,13.69396,100.42127,3687,1,0,,365,0
Bang Khae,13.69553,100.42133,3687,1,0,,365,0
Bang Khae,13.69366,100.42347,3687,1,0,,365,0
Bang Khae,13.69382,100.42194,3687,1,0,,365,0
Bang Khae,13.69432,100.42338,3687,1,0,,365,0
Bang Khae,13.69374,100.42191,3687,1,0,,365,0
Vadhana,13.74419,100.55835,2196,2,15,2021-03-25,280,0
Huai Khwang,13.77955,100.57448,899,2,0,,180,0
Suanluang,13.74591,100.60444,600,1,0,,87,0
Khlong Toei,13.70412,100.59293,1300,3,0,,180,0
Ratchathewi,13.75099,100.55511,1466,3,29,2022-11-20,356,18
Bang Na,13.67601,100.5998,1212,5,0,,180,0
Khlong Toei,13.71777,100.57622,1000,8,55,2022-11-13,114,17
Bang Sue,13.83105,100.53367,1732,1,0,,178,0
Khlong Toei,13.72135,100.56955,1388,2,37,2022-11-28,315,22
Pra Wet,13.693785,100.643198,1604,1,7,2022-12-08,357,2
Khlong Toei,13.72258,100.56897,1800,1,3,2020-03-02,364,0
Huai Khwang,13.77681,100.57647,1780,1,0,,364,0
Ratchathewi,13.75482,100.53521,1700,2,61,2022-12-07,112,37
Bang Rak,13.73113,100.51666,800,1,13,2020-03-08,365,0
Yan na wa,13.70182,100.54643,715,6,0,,90,0
Khlong Toei,13.734,100.55964,705,6,0,,90,0
Phra Nakhon,13.75474,100.49675,889,4,0,,90,0
Vadhana,13.73774,100.58995,1267,2,36,2022-12-08,158,19
Ratchathewi,13.75157,100.55501,1150,28,9,2022-12-01,246,7
Vadhana,13.7369,100.57387,1000,1,12,2022-12-15,28,5
Ratchathewi,13.75085,100.55619,1466,3,9,2020-03-18,361,0
Bang Phlat,13.78131,100.47571,843,10,12,2020-03-29,353,0
Khlong Toei,13.73378,100.55782,3086,1,39,2022-12-14,328,35
Bang Na,13.66378,100.60589,1200,1,0,,180,0
Bang Sue,13.80366,100.52226,1943,1,68,2022-12-23,272,47
Lat Krabang,13.72371,100.74811,931,3,11,2022-10-09,26,6
Parthum Wan,13.73919,100.53966,1200,30,1,2019-10-03,173,0
Khlong Toei,13.72821,100.56141,3200,1,6,2020-03-01,153,0
Huai Khwang,13.79014,100.5816,900,2,0,,178,0
Khlong Toei,13.72651,100.5656,2109,2,37,2022-12-17,169,16
Din Daeng,13.79077,100.56906,519,1,5,2022-11-17,179,1
Khlong Toei,13.70292,100.59292,1150,3,0,,180,0
Khlong Toei,13.72648,100.56698,1825,2,10,2022-11-29,173,1
Khlong Toei,13.70335,100.59292,1300,3,0,,178,0
Khlong Toei,13.72623,100.56701,2162,2,22,2022-12-25,161,9
Bang Kapi,13.751296043395996,100.61814880371094,533,1,6,2022-11-22,266,2
Bang Kho laen,13.70182,100.50626,2214,3,0,,173,0
Khlong Toei,13.70542,100.5942,1500,7,7,2020-03-16,106,0
Vadhana,13.73381,100.59655,799,5,0,,89,0
Khlong Toei,13.73448,100.55327,3000,1,0,,181,0
Parthum Wan,13.74368,100.54253,5043,1,43,2022-12-27,278,5
Ratchathewi,13.75057,100.5565,2527,3,10,2022-11-10,344,3
Phra Nakhon,13.76856,100.50452,1200,1,3,2020-02-02,365,0
Din Daeng,13.79315,100.5686,1499,1,0,,179,0
Khlong Toei,13.72532,100.56728,1830,2,0,,174,0
Khlong Toei,13.71363,100.59309,1800,1,0,,363,0
Ratchathewi,13.75632,100.52278,1432,2,7,2020-08-27,303,0
Vadhana,13.74324,100.55664,1870,5,4,2022-11-07,138,1
Phra Nakhon,13.75322,100.50245,2110,1,0,,179,0
Khlong San,13.72443,100.4954,1000,2,1,2022-11-01,86,1
Bang Na,13.68139,100.60979,3318,1,0,,89,0
Vadhana,13.74321,100.55734,1200,5,22,2022-12-13,109,8
Parthum Wan,13.73831,100.51779,8292,1,30,2022-12-06,96,16
Bangkok Yai,13.7294,100.48368,7999,15,1,2019-10-04,90,0
Bangkok Yai,13.7296,100.48377,6999,15,2,2019-10-04,89,0
Khlong Toei,13.70427,100.59986,843,2,3,2020-03-04,115,0
Parthum Wan,13.74315,100.52334,900,1,1,2020-01-01,89,0
Khlong Toei,13.72739,100.56608,1827,2,29,2022-12-09,163,16
